"Route_ID","Segment_Seq","From_Name","To_Name","Distance_m","Status","From_Code","To_Code"
"10_1",1,"Al Batha 201","King Abdulaziz 215",799.79,"✅ OK","52332","52765"
"10_1",2,"King Abdulaziz 215","Omar Bin Al Khatab 302",688.77,"✅ OK","52765","52769"
"10_1",3,"Omar Bin Al Khatab 302","Omar Bin Al Khatab 303",712.03,"✅ OK","52769","52771"
"10_1",4,"Omar Bin Al Khatab 303","Al Dharan 201",1491.03,"✅ OK","52771","91001"
"10_1",5,"Al Dharan 201","Salahuddin Al Ayubi 108",930.5,"✅ OK","91001","91025"
"10_1",6,"Salahuddin Al Ayubi 108","Al-Malaz 503",1344.92,"✅ OK","91025","91002"
"10_1",7,"Al-Malaz 503","Al Ahsa' 207",921.09,"✅ OK","91002","64616"
"10_1",8,"Al Ahsa' 207","Al Ahsa' 206",329.81,"✅ OK","64616","64618"
"10_1",9,"Al Ahsa' 206","Al Ahsa' 205",323.98,"✅ OK","64618","64620"
"10_1",10,"Al Ahsa' 205","Al Ahsa' 204",373.28,"✅ OK","64620","64622"
"10_1",11,"Al Ahsa' 204","Al Ahsa' 203",306.53,"✅ OK","64622","64624"
"10_1",12,"Al Ahsa' 203","Al Ahsa' 202",392.33,"✅ OK","64624","64626"
"10_1",13,"Al Ahsa' 202","Al Ahsa' 201",375.71,"✅ OK","64626","64628"
"10_1",14,"Al Ahsa' 201","Makkah Al Mukarramah 303",1345.76,"✅ OK","64628","53005"
"10_1",15,"Makkah Al Mukarramah 303","Makkah Al Mukarramah 304",982.8,"✅ OK","53005","91003"
"10_1",16,"Makkah Al Mukarramah 304","Makkah Al Mukarramah 305",738.47,"✅ OK","91003","91004"
"10_1",17,"Makkah Al Mukarramah 305","Khurais 301",2537.44,"✅ OK","91004","53007"
"10_1",18,"Khurais 301","Khurais 302",1305.93,"✅ OK","53007","53009"
"10_1",19,"Khurais 302","Khalid Bin Al Walid 214",683.96,"✅ OK","53009","91005"
"10_2",1,"Khalid Bin Al Walid 114","Khurais 402",752.73,"✅ OK","91016","53010"
"10_2",2,"Khurais 402","Khurais 401",1318.25,"✅ OK","53010","53008"
"10_2",3,"Khurais 401","Makkah Al Mukarramah 406",2500.94,"✅ OK","53008","91017"
"10_2",4,"Makkah Al Mukarramah 406","Makkah Al Mukarramah 404",985.93,"✅ OK","91017","91018"
"10_2",5,"Makkah Al Mukarramah 404","Makkah Al Mukarramah 403",1099.39,"✅ OK","91018","53006"
"10_2",6,"Makkah Al Mukarramah 403","Makkah Al Mukarramah 402",1569.97,"✅ OK","53006","53004"
"10_2",7,"Makkah Al Mukarramah 402","Salahuddin Al Ayubi 101",796.22,"✅ OK","53004","91026"
"10_2",8,"Salahuddin Al Ayubi 101","Salahuddin Al Ayubi 102",506.36,"✅ OK","91026","91019"
"10_2",9,"Salahuddin Al Ayubi 102","Salahuddin Al Ayubi 103",377.44,"✅ OK","91019","91020"
"10_2",10,"Salahuddin Al Ayubi 103","Salahuddin Al Ayubi 104",577.38,"✅ OK","91020","91027"
"10_2",11,"Salahuddin Al Ayubi 104","Salahuddin Al Ayubi 105",307.53,"✅ OK","91027","52635"
"10_2",12,"Salahuddin Al Ayubi 105","Salahuddin Al Ayubi 106",755.66,"✅ OK","52635","91021"
"10_2",13,"Salahuddin Al Ayubi 106","Salahuddin Al Ayubi 107",678.32,"✅ OK","91021","91022"
"10_2",14,"Salahuddin Al Ayubi 107","Al Dharan 101",1005.94,"✅ OK","91022","91023"
"10_2",15,"Al Dharan 101","Omar Bin Al Khatab 403",1156.35,"✅ OK","91023","52772"
"10_2",16,"Omar Bin Al Khatab 403","Omar Bin Al Khatab 402",528.6,"✅ OK","52772","52770"
"10_2",17,"Omar Bin Al Khatab 402","Omar Bin Al Khatab 401",592.91,"✅ OK","52770","52766"
"10_2",18,"Omar Bin Al Khatab 401","Al Batha 101",1133.45,"✅ OK","52766","52331"
"11_1",1,"Ar-Rabi 602","King Abdulaziz 03 A",6366.43,"✅ OK","53329","41062"
"11_1",2,"King Abdulaziz 03 A","King Abdulaziz 04 A",1697.44,"✅ OK","41062","41066"
"11_1",3,"King Abdulaziz 04 A","King Abdulaziz 05 A",1156.58,"✅ OK","41066","41060"
"11_1",4,"King Abdulaziz 05 A","King Abdulaziz 06 A",853.97,"✅ OK","41060","41058"
"11_1",5,"King Abdulaziz 06 A","King Abdulaziz 07 A",1786.12,"✅ OK","41058","41056"
"11_1",6,"King Abdulaziz 07 A","King Abdulaziz 08 A",1433.12,"✅ OK","41056","41052"
"11_1",7,"King Abdulaziz 08 A","King Abdulaziz 09 A",749.8,"✅ OK","41052","41050"
"11_1",8,"King Abdulaziz 09 A","Salahuddin Al Ayubi 11 A",2996.48,"✅ OK","41050","41038"
"11_1",9,"Salahuddin Al Ayubi 11 A","Salahuddin Al Ayubi 12 A",348.66,"✅ OK","41038","41036"
"11_1",10,"Salahuddin Al Ayubi 12 A","Salahuddin Al Ayubi 13 A",928.24,"✅ OK","41036","41034"
"11_1",11,"Salahuddin Al Ayubi 13 A","Salahuddin Al Ayubi 14 A",730.27,"✅ OK","41034","41032"
"11_1",12,"Salahuddin Al Ayubi 14 A","Salahuddin Al Ayubi 15 A",615.02,"✅ OK","41032","41030"
"11_1",13,"Salahuddin Al Ayubi 15 A","Salahuddin Al Ayubi 16 A",855.37,"✅ OK","41030","41028"
"11_1",14,"Salahuddin Al Ayubi 16 A","Ali Ibn Abi Talib 17 A",1259.59,"✅ OK","41028","41024"
"11_1",15,"Ali Ibn Abi Talib 17 A","Ali Ibn Abi Talib 18 A",1211.96,"✅ OK","41024","41022"
"11_1",16,"Ali Ibn Abi Talib 18 A","Ali Ibn Abi Talib 19 A",1622.03,"✅ OK","41022","41020"
"11_1",17,"Ali Ibn Abi Talib 19 A","Ali Ibn Abi Talib 20 A",692.44,"✅ OK","41020","41026"
"11_1",18,"Ali Ibn Abi Talib 20 A","Ali Ibn Abi Talib D",1130.18,"✅ OK","41026","42115"
"11_1",19,"Ali Ibn Abi Talib D","Al-Khalidiah 22 B",1180.49,"✅ OK","42115","42105"
"11_1",20,"Al-Khalidiah 22 B","Al Kharj 23 A",1399.1,"✅ OK","42105","41017"
"11_1",21,"Al Kharj 23 A","Al Kharj 24 A",2959.71,"✅ OK","41017","41015"
